# 5 ft = 44px 
# 0.1136 ft/px


# start_x, start_y, end_x, end_y

#######################################
# Common area 326
0.00,0.00,5.00,0.00
2.75,0.00,2.75,9.25
2.75,9.25,7.952,9.25


#######################################
# Office 329
17.50,0.00,17.50,9.5
17.50,9.5,19.00,9.5
17.50,0.00,29.75,0.00
29.75,0.00,29.75,9.5
22.00,9.5,29.75,9.5


#######################################
# Office 330
29.75,9.5,31.25,9.5
29.75,0.00,42.00,0.00
42.00,0.00,42.00,9.5
34.25,9.5,42.00,9.5


#######################################
# Office 331
42.00,9.5,43.50,9.5
42.00,0.00,54.25,0.00
54.25,0.00,54.25,9.5
46.50,9.5,54.25,9.5

#######################################
# Office 332
54.25,9.5,55.75,9.5
54.25,0.00,66.50,0.00
66.50,0.00,66.50,9.5
58.75,9.5,66.50,9.5



#######################################
# Lab 327 (vent box)
4.00,15.50,10.00,15.50
4.00,15.50,4.00,19.00
10.00,15.50,10.00,19.00
4.00,19.00,10.00,19.00


# Lab 327 (room)
7.00,19.00,7.00,37.00
7.00,40.00,7.00,43.00
7.00,43.00,18.00,43.00
18.00,19.00,18.00,43.00


#######################################
# Lab 328 (vent box #1)
15.00,15.50,21.00,15.50
15.00,15.50,15.00,19.00
21.00,15.50,21.00,19.00
15.00,19.00,21.00,19.00


# Lab 328 (vent box #2)
26.00,15.50,32.00,15.50
26.00,15.50,26.00,19.00
32.00,15.50,32.00,19.00
26.00,19.00,32.00,19.00


# Lab 328 (vent box #3)
38.00,15.50,44.00,15.50
38.00,15.50,38.00,19.00
44.00,15.50,44.00,19.00
38.00,19.00,44.00,19.00
32.00,17.00,38.00,17.00

# Lab 328 (vent box #4)
49.00,15.50,55.00,15.50
49.00,15.50,49.00,19.00
55.00,15.50,55.00,19.00
49.00,19.00,55.00,19.00

# Lab 328 (room)
18.00,43.00,52.00,43.00
52.00,19.00,52.00,37.00
52.00,40.00,52.00,43.00










