# 5 ft = 44px 
# 0.1136 ft/px


# start_x, start_y, end_x, end_y

5.24,48.00,16.49,48.00
16.49,48.00,16.49,20.21
16.49,20.21,13.54,20.21
13.54,20.21,13.54,16.01
13.54,16.01,20.01,16.01
20.01,16.01,20.01,20.21
20.01,20.21,17.00,20.21
17.00,20.21,17.00,48.00
1.78,20.21,1.78,16.01
1.78,16.01,8.32,16.01
8.32,16.01,8.32,20.21
8.32,20.21,5.24,20.21
5.24,20.21,5.24,41.60
5.24,41.60,4.79,41.60
4.79,41.60,4.79,20.21
4.79,20.21,1.78,20.21
17.00,48.00,51.85,48.00
51.85,48.00,51.85,43.74
51.85,43.74,52.29,43.74
52.29,43.74,52.29,48.00
52.29,48.00,63.62,48.00
63.62,48.00,63.62,20.21
63.62,20.21,60.53,20.21
60.53,20.21,60.53,16.01
60.53,16.01,63.62,16.01
25.24,20.21,25.24,16.01
25.24,16.01,31.78,16.01
31.78,16.01,31.78,17.41
31.78,17.41,37.00,17.41
37.00,17.41,37.00,16.01
37.00,16.01,43.54,16.01
43.54,16.01,43.54,20.21
43.54,20.21,37.00,20.21
37.00,20.21,37.00,17.85
37.00,17.85,31.78,17.85
31.78,17.85,31.78,20.21
31.78,20.21,25.24,20.21
48.76,20.21,48.76,16.01
48.76,16.01,55.31,16.01
55.31,16.01,55.31,20.21
55.31,20.21,52.29,20.21
52.29,20.21,52.29,40.79
52.29,40.79,51.85,40.79
51.85,40.79,51.85,20.21
51.85,20.21,48.76,20.21
63.62,16.01,63.62,9.32
63.62,9.32,56.63,9.32
56.63,9.32,56.63,8.81
56.63,8.81,63.62,8.81
63.62,8.81,63.62,-2.51
63.62,-2.51,52.22,-2.51
52.22,-2.51,52.22,8.81
52.22,8.81,53.69,8.81
53.69,8.81,53.69,9.32
53.69,9.32,44.87,9.32
44.87,9.32,44.87,8.81
44.87,8.81,51.85,8.81
51.85,8.81,51.85,-2.51
51.85,-2.51,40.46,-2.51
40.46,-2.51,40.46,8.81
40.46,8.81,41.93,8.81
41.93,8.81,41.93,9.32
41.93,9.32,33.10,9.32
33.10,9.32,33.10,8.81
33.10,8.81,40.09,8.81
40.09,8.81,40.09,-2.51
40.09,-2.51,28.69,-2.51
28.69,-2.51,28.69,8.81
28.69,8.81,30.16,8.81
30.16,8.81,30.16,9.32
30.16,9.32,20.60,9.32
20.60,9.32,20.60,8.81
20.60,8.81,28.32,8.81
28.32,8.81,28.32,-2.51
28.32,-2.51,16.19,-2.51
16.19,-2.51,16.19,8.81
16.19,8.81,17.66,8.81
17.66,8.81,17.66,9.32
17.66,9.32,15.75,9.32
15.75,9.32,15.75,-3.47





