# time, x(ft), y(ft), z(ft), roll(deg), pitch(deg), yaw(deg)
00, 7.286, 51.538, 2, 0,-185,10
03, 29.009, 52.327, 3, 0,-195,-45
06, 29.667, 29.420, 6, 0,-155,-85
07, 32.695, 23.232, 2, 0,-180,0
08, 39.648, 24.812, 4, 0,-195,55
10, 42.569, 36.266, 5, 0,-175,90
15, 51.654, 52.854, 4, 0,-180,0
16, 60.079, 52.591, 3, 0,-182,-30
19, 65.609, 32.316, 4, 0,-184,-75
20, 67.452, 24.417, 5, 0,-182,-40
23, 90.228, 25.602, 6, 0,-180,5
26, 118.299, 23.599, 2, 0,-185,10
28, 123.722, 29.285, 3, 0,-180,50
35, 124.722, 51.669, 3, 0,-180,85
38, 130.383, 54.039, 3, 0,-180,-15
39, 136.439, 52.196, 3, 0,-180,-65
42, 136.966, 25.965, 3, 0,-180,-75
45, 146.708, 24.285, 3, 0,-180,70
47, 148.025, 31.526, 3, 0,-180,85
51, 153.291, 55.092, 5, 0,-190,70
56, 158.928, 43.535, 3, 0,-170,-75
61, 165.140, 36.529, 4, 0,-180,70
64, 172.907, 52.327, 3, 0,-170,10
65, 177.515, 53.117, 2, 0,-180,0
67, 185.019, 50.353, 5, 0,-180,-75
68, 183.176, 26.655, 4, 0,-180,-135
69, 170.017, 23.363, 5, 0,-180,-175
72, 111.820, 24.837, 3, 0,-180,-180
73, 50.000, 24.837, 3, 0,-180,-180
74, 15.000, 24.837, 6, 0,-180,-190
75, 6.496, 29.815, 4, 0,-180,-270
78, 7.286, 51.538, 2, 0,-185,-370






